10.1.1.152,381.677042ms,1.583µs
10.1.1.152,400.63925ms,458ns
10.1.1.151,420.621125ms,958ns
10.1.1.151,86.414542ms,2.334µs
10.1.1.152,83.946666ms,4µs
10.1.1.149,528.7655ms,1.191917ms
10.1.1.153,696.878791ms,750ns
10.1.1.150,793.630166ms,1.625µs
10.1.1.151,97.717334ms,4.916µs
10.1.1.152,46.102458ms,2µs
10.1.1.153,91.692584ms,834ns
10.1.1.149,53.077458ms,2µs
10.1.1.154,961.188333ms,1.875µs
10.1.1.151,26.657791ms,1.958µs
10.1.1.150,71.26725ms,2µs
10.1.1.152,50.576ms,7.542µs
10.1.1.153,92.604625ms,2.292µs
10.1.1.154,67.048875ms,3.5µs
10.1.1.149,53.098875ms,5.833µs
10.1.1.150,52.988709ms,3.5µs
10.1.1.153,1.164846208s,500ns
10.1.1.153,1.227527708s,958ns
10.1.1.152,87.834375ms,792ns
10.1.1.149,30.132916ms,2.625µs
10.1.1.151,130.732833ms,1.875µs
10.1.1.154,67.412292ms,1.708µs
10.1.1.152,1.310055834s,1.166µs
10.1.1.150,42.628833ms,2.208µs
10.1.1.151,55.345ms,917ns
10.1.1.152,54.907542ms,2.25µs
10.1.1.153,200.120709ms,1.083µs
10.1.1.153,91.207625ms,2.833µs
10.1.1.154,49.875541ms,2.5µs
10.1.1.150,44.837792ms,1.625µs
10.1.1.151,61.513541ms,2.958µs
10.1.1.149,81.573125ms,1.209µs
10.1.1.153,70.942041ms,1.916µs
10.1.1.152,93.581709ms,2µs
10.1.1.150,65.726916ms,2.375µs
10.1.1.151,81.813458ms,1.917µs
10.1.1.149,113.9605ms,1.667µs
10.1.1.154,130.571167ms,1.584µs
10.1.1.152,106.47875ms,1.791µs
10.1.1.153,72.829ms,14.625µs
10.1.1.153,1.571963417s,500ns
10.1.1.150,53.4745ms,1.041µs
10.1.1.149,53.719583ms,2.292µs
10.1.1.154,53.734625ms,1.833µs
10.1.1.154,1.599420042s,750ns
10.1.1.151,61.841667ms,1.875µs
10.1.1.150,38.103791ms,1.875µs
10.1.1.153,67.977459ms,1.875µs
10.1.1.154,43.272709ms,1.375µs
10.1.1.149,48.796625ms,958ns
10.1.1.152,79.504792ms,1.667µs
10.1.1.151,64.811959ms,2.167µs
10.1.1.152,75.537666ms,2.209µs
10.1.1.149,51.595792ms,833ns
10.1.1.153,74.333416ms,2.458µs
10.1.1.154,76.246125ms,2.666µs
10.1.1.150,75.966583ms,2.5µs
10.1.1.152,59.300042ms,2µs
10.1.1.151,102.016542ms,1.875µs
10.1.1.153,40.330084ms,1.625µs
10.1.1.150,50.887917ms,1.959µs
10.1.1.154,66.843291ms,1.375µs
10.1.1.152,53.770125ms,792ns
10.1.1.151,49.69025ms,1.375µs
10.1.1.149,66.931792ms,1.333µs
10.1.1.153,56.344125ms,2.958µs
10.1.1.149,34.622875ms,1.834µs
10.1.1.152,39.36025ms,1.708µs
10.1.1.151,39.838708ms,1.792µs
10.1.1.154,85.158334ms,1.708µs
10.1.1.153,55.601917ms,1.834µs
10.1.1.150,81.863667ms,750ns
10.1.1.149,53.208792ms,834ns
10.1.1.150,68.81575ms,3.25µs
10.1.1.151,68.774042ms,1.875µs
10.1.1.152,56.901958ms,2.167µs
10.1.1.154,90.94425ms,1.833µs
10.1.1.153,48.305709ms,1.917µs
10.1.1.154,71.470667ms,1.792µs
10.1.1.151,1.905454042s,1.5µs
10.1.1.149,66.962583ms,1.75µs
10.1.1.150,48.891959ms,1.875µs
10.1.1.151,49.82975ms,1.75µs
10.1.1.153,71.615459ms,1.291µs
10.1.1.154,70.167708ms,709ns
10.1.1.149,64.551125ms,6.417µs
10.1.1.152,91.744667ms,1.375µs
10.1.1.151,1.987692125s,1.416µs
10.1.1.150,82.546042ms,1.667µs
10.1.1.152,69.973667ms,625ns
10.1.1.151,72.722416ms,1.792µs
10.1.1.154,54.65825ms,958ns
10.1.1.150,43.377542ms,1.709µs
10.1.1.153,77.563291ms,750ns
10.1.1.149,60.388833ms,2.083µs
10.1.1.154,2.029432375s,1.5µs
10.1.1.153,66.320708ms,1.583µs
10.1.1.152,87.007542ms,1.709µs
10.1.1.152,65.256708ms,542ns
10.1.1.149,61.457666ms,875ns
10.1.1.153,48.46575ms,1.542µs
10.1.1.154,72.487708ms,1.833µs
10.1.1.151,72.419625ms,584ns
10.1.1.151,104.84375ms,2.542µs
10.1.1.150,97.50925ms,833ns
10.1.1.154,78.84275ms,1.583µs
10.1.1.152,2.115859334s,1.834µs
10.1.1.149,61.639666ms,1.75µs
10.1.1.150,85.17725ms,1.75µs
10.1.1.152,106.795708ms,1.333µs
10.1.1.153,109.859625ms,542ns
10.1.1.149,2.179764958s,1.625µs
10.1.1.151,110.506875ms,750ns
10.1.1.154,95.510459ms,2.708µs
10.1.1.149,112.531792ms,1.459µs
10.1.1.153,77.714209ms,2.875µs
10.1.1.154,44.046125ms,1.375µs
10.1.1.149,88.466542ms,1.041µs
10.1.1.152,97.113791ms,542ns
10.1.1.150,123.43475ms,542ns
10.1.1.151,117.11425ms,1µs
10.1.1.150,50.891292ms,1.333µs
10.1.1.151,51.526292ms,1.667µs
10.1.1.154,68.763791ms,709ns
10.1.1.151,2.261091042s,541ns
10.1.1.152,81.308458ms,2µs
10.1.1.150,62.627833ms,667ns
10.1.1.154,61.265916ms,2.5µs
10.1.1.152,74.587625ms,708ns
10.1.1.150,68.626833ms,2.167µs
10.1.1.153,139.292167ms,1.333µs
10.1.1.153,115.39525ms,750ns
10.1.1.154,2.319944834s,3.542µs
10.1.1.149,126.322958ms,2.875µs
10.1.1.149,120.555792ms,3.291µs
10.1.1.154,69.87025ms,750ns
10.1.1.151,137.380792ms,2.917µs
10.1.1.151,57.864334ms,1µs
10.1.1.151,105.511ms,1.792µs
10.1.1.150,83.67375ms,708ns
10.1.1.153,79.568833ms,1.083µs
10.1.1.152,83.400833ms,9.666µs
10.1.1.149,79.475667ms,3.417µs
10.1.1.152,70.392042ms,1.667µs
10.1.1.153,2.401274917s,2.041µs
10.1.1.152,88.790083ms,958ns
10.1.1.154,105.646333ms,667ns
10.1.1.153,118.274208ms,2.208µs
10.1.1.149,118.885167ms,1.125µs
10.1.1.153,98.295666ms,1.958µs
10.1.1.154,146.006083ms,3.5µs
10.1.1.151,157.159959ms,2.125µs
10.1.1.150,157.604583ms,2.083µs
10.1.1.149,159.862417ms,2.791µs
10.1.1.153,165.833292ms,1.167µs
10.1.1.150,156.137292ms,1.792µs
10.1.1.152,146.385959ms,3.083µs
10.1.1.154,111.844417ms,1.833µs
10.1.1.151,161.886875ms,2.375µs
10.1.1.151,115.180083ms,1.75µs
10.1.1.150,148.903792ms,2.667µs
10.1.1.151,2.574766334s,583ns
10.1.1.150,96.935917ms,792ns
10.1.1.154,136.278458ms,1.292µs
10.1.1.153,135.575958ms,583ns
10.1.1.149,102.786834ms,1.542µs
10.1.1.152,144.242916ms,1.625µs
10.1.1.149,216.689625ms,666ns
10.1.1.152,98.793792ms,1.333µs
10.1.1.150,70.663459ms,1.333µs
10.1.1.149,63.406791ms,834ns
10.1.1.151,161.136084ms,2.5µs
10.1.1.154,63.650958ms,1.208µs
10.1.1.153,150.344917ms,1.875µs
10.1.1.149,156.180667ms,709ns
10.1.1.154,151.392708ms,2.333µs
10.1.1.150,89.032041ms,667ns
10.1.1.153,88.881166ms,1.708µs
10.1.1.153,2.664088917s,458ns
10.1.1.151,83.88275ms,1.875µs
10.1.1.154,93.15875ms,625ns
10.1.1.152,101.604541ms,4.834µs
10.1.1.152,179.78075ms,666ns
10.1.1.151,248.005667ms,1.041µs
10.1.1.153,184.705542ms,1.625µs
10.1.1.149,2.768200667s,542ns
10.1.1.150,2.768188s,500ns
10.1.1.149,217.551125ms,1.833µs
10.1.1.150,202.33625ms,1.959µs
10.1.1.151,174.324458ms,2.083µs
10.1.1.153,150.917791ms,1.333µs
10.1.1.151,163.620708ms,1.667µs
10.1.1.154,174.35925ms,1.458µs
10.1.1.152,200.122791ms,1.625µs
10.1.1.154,190.952625ms,750ns
10.1.1.153,185.619542ms,2.125µs
10.1.1.150,93.681541ms,2.917µs
10.1.1.149,229.90575ms,708ns
10.1.1.150,255.672125ms,500ns
10.1.1.152,268.657417ms,1.625µs
10.1.1.149,272.66275ms,17.584µs
10.1.1.154,210.119875ms,1.042µs
10.1.1.152,305.604916ms,1.541µs
10.1.1.152,2.983278041s,500ns
10.1.1.151,318.423916ms,1.708µs
10.1.1.149,2.982585417s,750ns
10.1.1.153,222.150792ms,667ns
10.1.1.153,3.005466542s,875ns
10.1.1.153,199.883458ms,667ns
10.1.1.152,175.9195ms,500ns
10.1.1.149,186.7375ms,2.25µs
10.1.1.150,152.749792ms,1.084µs
10.1.1.154,200.371959ms,958ns
10.1.1.150,274.832333ms,416ns
10.1.1.149,243.396375ms,1.584µs
10.1.1.153,236.694292ms,541ns
10.1.1.152,247.369917ms,500ns
10.1.1.152,96.988667ms,4.5µs
10.1.1.150,173.665791ms,2.292µs
10.1.1.154,145.366667ms,1.416µs
10.1.1.154,292.554792ms,750ns
10.1.1.150,3.142208292s,709ns
10.1.1.151,247.851458ms,667ns
10.1.1.151,336.3935ms,542ns
10.1.1.154,160.339584ms,1.125µs
10.1.1.150,192.346167ms,2.208µs
10.1.1.150,3.175042875s,708ns
10.1.1.152,200.842583ms,667ns
10.1.1.151,200.893542ms,583ns
10.1.1.154,108.194709ms,583ns
10.1.1.149,178.524ms,19.541µs
10.1.1.153,126.698708ms,1.541µs
10.1.1.153,201.135875ms,3.542µs
10.1.1.151,121.160958ms,1.875µs
10.1.1.153,98.148666ms,1.583µs
10.1.1.154,87.968834ms,500ns
10.1.1.150,228.111333ms,1.458µs
10.1.1.151,67.88375ms,791ns
10.1.1.150,204.052208ms,1.917µs
10.1.1.152,233.100458ms,1.5µs
10.1.1.152,119.247917ms,1.542µs
10.1.1.149,180.255625ms,625ns
10.1.1.149,387.163583ms,500ns
10.1.1.153,80.436125ms,1.875µs
10.1.1.151,227.579125ms,1.917µs
10.1.1.153,121.54875ms,1.791µs
10.1.1.152,101.128875ms,541ns
10.1.1.149,105.661584ms,2.25µs
10.1.1.154,105.655791ms,2.708µs
10.1.1.149,3.314922917s,583ns
10.1.1.150,159.224209ms,1.791µs
10.1.1.152,150.692291ms,2.875µs
10.1.1.154,137.702334ms,2.959µs
10.1.1.152,97.463834ms,76.334µs
10.1.1.151,156.842875ms,1.75µs
10.1.1.150,156.929792ms,1.417µs
10.1.1.151,97.778167ms,1.25µs
10.1.1.150,150.5835ms,19.292µs
10.1.1.151,99.861417ms,959ns
10.1.1.149,172.0615ms,750ns
10.1.1.149,79.188792ms,875ns
10.1.1.150,99.975292ms,750ns
10.1.1.150,66.328042ms,1.875µs
10.1.1.154,108.334333ms,1.917µs
10.1.1.151,91.64925ms,3.292µs
10.1.1.154,137.169708ms,1.667µs
10.1.1.153,161.5375ms,1.833µs
10.1.1.149,148.479792ms,1.708µs
10.1.1.152,170.115ms,1.042µs
10.1.1.151,3.439795625s,583ns
10.1.1.153,210.101875ms,2.209µs
10.1.1.150,3.48209225s,10.375µs
10.1.1.153,192.275917ms,1.125µs
10.1.1.154,174.30375ms,2.375µs
10.1.1.149,174.307917ms,958ns
10.1.1.149,174.399625ms,1.75µs
10.1.1.149,110.4005ms,958ns
10.1.1.154,2.685998875s,3.291µs
10.1.1.154,3.546601s,500ns
10.1.1.151,3.546679584s,1.833µs
10.1.1.152,212.82475ms,35.334µs
10.1.1.154,205.696291ms,500ns
10.1.1.153,236.605959ms,1.292µs
10.1.1.149,207.669208ms,709ns
10.1.1.153,257.878417ms,666ns
10.1.1.150,3.59230975s,542ns
10.1.1.150,236.720584ms,791ns
10.1.1.151,243.708041ms,625ns
10.1.1.152,243.768083ms,2.083µs
10.1.1.151,243.91125ms,500ns
10.1.1.154,243.655042ms,1.833µs
10.1.1.152,218.378917ms,958ns
10.1.1.150,169.090125ms,500ns
10.1.1.152,273.442583ms,708ns
10.1.1.153,273.623666ms,1µs
10.1.1.151,105.687667ms,1.417µs
10.1.1.149,103.762792ms,1.375µs
10.1.1.150,230.962583ms,750ns
10.1.1.153,140.228583ms,3.208µs
10.1.1.152,144.978083ms,2.708µs
10.1.1.154,145.168459ms,2.833µs
10.1.1.151,202.725834ms,834ns
10.1.1.151,132.019542ms,196.875µs
10.1.1.153,128.033584ms,1.416µs
10.1.1.154,113.197709ms,1.584µs
10.1.1.152,165.992ms,916ns
10.1.1.149,133.747417ms,1.625µs
10.1.1.149,141.090917ms,1.834µs
10.1.1.151,151.994041ms,1.667µs
10.1.1.154,145.009208ms,834ns
10.1.1.153,152.00425ms,459ns
10.1.1.150,162.751625ms,3.5µs
10.1.1.153,3.759283416s,583ns
10.1.1.152,211.8655ms,625ns
10.1.1.152,163.021291ms,3.708µs
10.1.1.153,175.014ms,2.166µs
10.1.1.154,181.036917ms,1.167µs
10.1.1.150,312.798625ms,2.125µs
10.1.1.153,146.310334ms,667ns
10.1.1.151,198.765959ms,1µs
10.1.1.152,146.782208ms,2.458µs
10.1.1.151,214.455291ms,542ns
10.1.1.149,220.99725ms,2.416µs
10.1.1.153,283.4025ms,1.584µs
10.1.1.149,256.414333ms,1.834µs
10.1.1.154,233.866875ms,709ns
10.1.1.150,241.162625ms,875ns
10.1.1.154,364.759958ms,1.708µs
10.1.1.152,323.405916ms,2.083µs
10.1.1.153,225.45725ms,917ns
10.1.1.152,239.257333ms,1.583µs
10.1.1.151,310.967542ms,583ns
10.1.1.149,263.213083ms,1.292µs
10.1.1.151,241.615958ms,2.25µs
10.1.1.150,373.757417ms,1.708µs
10.1.1.154,4.012819125s,584ns
10.1.1.152,4.016124625s,666ns
10.1.1.154,77.253917ms,1.625µs
10.1.1.154,4.0163145s,583ns
10.1.1.150,97.295042ms,667ns
10.1.1.154,4.0505915s,542ns
10.1.1.149,103.697209ms,41.166µs
10.1.1.152,4.067103s,500ns
10.1.1.151,120.34625ms,2.75µs
10.1.1.153,89.374084ms,750ns
10.1.1.152,89.495291ms,1.75µs
10.1.1.154,89.860792ms,958ns
10.1.1.150,98.820583ms,2.084µs
10.1.1.150,86.170334ms,500ns
10.1.1.151,93.773292ms,625ns
10.1.1.153,113.357667ms,542ns
10.1.1.151,117.643416ms,792ns
10.1.1.152,63.581459ms,1.75µs
10.1.1.149,104.491583ms,750ns
10.1.1.154,107.723166ms,1.75µs
10.1.1.149,149.84ms,1.666µs
10.1.1.152,148.382084ms,1.125µs
10.1.1.154,106.806917ms,1.041µs
10.1.1.151,105.401334ms,750ns
10.1.1.150,108.525792ms,2.25µs
10.1.1.153,143.929834ms,1.125µs
10.1.1.154,128.180209ms,792ns
10.1.1.150,97.114ms,1.209µs
10.1.1.153,140.25875ms,750ns
10.1.1.149,97.275708ms,1.708µs
10.1.1.152,151.225125ms,791ns
10.1.1.149,177.439042ms,1.625µs
10.1.1.151,136.931083ms,2.167µs
10.1.1.153,137.037125ms,3.459µs
10.1.1.152,152.447792ms,1.917µs
10.1.1.154,127.20375ms,2.875µs
10.1.1.151,106.167166ms,2.084µs
10.1.1.150,117.482ms,1.083µs
10.1.1.153,113.11325ms,709ns
10.1.1.152,66.760833ms,1.167µs
10.1.1.150,72.517083ms,791ns
10.1.1.153,66.835584ms,625ns
10.1.1.149,153.641166ms,1.5µs
10.1.1.154,107.189666ms,2.875µs
10.1.1.151,75.2695ms,1.541µs
10.1.1.149,4.323040333s,666ns
10.1.1.149,150.076625ms,666ns
10.1.1.150,160.464875ms,1.833µs
10.1.1.154,162.659667ms,1.792µs
10.1.1.151,162.061209ms,792ns
10.1.1.152,177.866875ms,6.125µs
10.1.1.150,157.235125ms,1.667µs
10.1.1.154,169.404666ms,1.875µs
10.1.1.153,165.542583ms,2.541µs
10.1.1.149,4.439968916s,1µs
10.1.1.149,4.459392625s,541ns
10.1.1.154,213.438875ms,708ns
10.1.1.149,213.090166ms,1.917µs
10.1.1.151,213.376584ms,542ns
10.1.1.152,127.805291ms,875ns
10.1.1.149,238.055958ms,2.541µs
10.1.1.149,166.782167ms,1.459µs
10.1.1.153,209.850625ms,500ns
10.1.1.150,215.374542ms,1.875µs
10.1.1.152,4.511381708s,1.625µs
10.1.1.153,106.054542ms,1.584µs
10.1.1.152,250.114875ms,1.834µs
10.1.1.151,278.048416ms,1.791µs
10.1.1.153,4.150116917s,1.791µs
10.1.1.150,140.538708ms,1.5µs
10.1.1.152,130.796125ms,875ns
10.1.1.151,154.163958ms,1.75µs
10.1.1.149,187.405375ms,584ns
10.1.1.153,154.685125ms,833ns
10.1.1.151,104.968541ms,1.458µs
10.1.1.154,166.33075ms,1.875µs
10.1.1.150,210.571375ms,3.458µs
10.1.1.151,210.141708ms,792ns
10.1.1.152,210.485875ms,500ns
10.1.1.153,235.040708ms,1.167µs
10.1.1.150,243.912125ms,1.792µs
10.1.1.151,263.184167ms,1.584µs
10.1.1.152,354.312916ms,1.625µs
10.1.1.152,270.353167ms,2.291µs
10.1.1.151,189.032458ms,3.541µs
10.1.1.149,431.815542ms,1.5µs
10.1.1.153,222.600959ms,5µs
10.1.1.150,393.852209ms,4.417µs
10.1.1.150,358.319792ms,1.834µs
10.1.1.152,387.472417ms,2.166µs
10.1.1.149,470.870167ms,1.25µs
10.1.1.153,102.509708ms,2.417µs
10.1.1.151,178.692834ms,1.542µs
10.1.1.153,5.009739875s,1.666µs
10.1.1.152,194.408625ms,625ns
10.1.1.152,57.011333ms,2.25µs
10.1.1.151,1.248779584s,1.125µs
10.1.1.151,91.1605ms,2.084µs
10.1.1.150,132.98475ms,5.458µs
10.1.1.154,668.131125ms,833ns
10.1.1.149,413.0555ms,5.125µs
10.1.1.150,5.122474542s,1.584µs
10.1.1.150,132.569333ms,1.25µs
10.1.1.153,118.763ms,1.125µs
10.1.1.152,132.910375ms,833ns
10.1.1.154,4.695617166s,1.959µs
10.1.1.151,123.735958ms,1.792µs
10.1.1.150,96.89425ms,1.667µs
10.1.1.153,210.6975ms,2µs
10.1.1.153,676.800667ms,5.125µs
10.1.1.153,88.812916ms,1.916µs
10.1.1.149,178.524042ms,5.25µs
10.1.1.149,659.924583ms,5.416µs
10.1.1.151,94.305333ms,1.75µs
10.1.1.150,142.2255ms,1.75µs
10.1.1.154,310.262375ms,1.916µs
10.1.1.151,5.292667792s,708ns
10.1.1.154,820.866666ms,1.917µs
10.1.1.154,191.848625ms,1.833µs
10.1.1.152,196.433792ms,1.791µs
10.1.1.151,316.658833ms,1.959µs
10.1.1.151,145.780709ms,1.584µs
10.1.1.152,158.996375ms,3.125µs
10.1.1.154,127.577667ms,1.917µs
10.1.1.152,112.279458ms,2.333µs
10.1.1.149,234.735416ms,1.208µs
10.1.1.153,195.651292ms,1.542µs
10.1.1.149,185.187709ms,834ns
10.1.1.151,2.441749083s,1.625µs
10.1.1.152,58.736333ms,1.167µs
10.1.1.150,170.244042ms,792ns
10.1.1.149,78.548417ms,2.292µs
10.1.1.150,5.406066708s,500ns
10.1.1.153,94.362ms,1.375µs
10.1.1.154,96.084208ms,2.792µs
10.1.1.152,44.351875ms,1.209µs
10.1.1.151,126.830584ms,1.667µs
10.1.1.153,173.469666ms,750ns
10.1.1.154,213.31425ms,625ns
10.1.1.150,143.779417ms,1.625µs
10.1.1.150,164.332667ms,1.75µs
10.1.1.154,107.211209ms,958ns
10.1.1.151,193.549959ms,1.125µs
10.1.1.149,204.310708ms,1.459µs
10.1.1.149,110.473334ms,1.833µs
10.1.1.153,135.871375ms,542ns
10.1.1.150,86.479209ms,1µs
10.1.1.152,115.90125ms,1.958µs
10.1.1.151,123.325208ms,1.916µs
10.1.1.150,5.0289715s,1.75µs
10.1.1.149,171.768792ms,2.5µs
10.1.1.152,103.987542ms,1.042µs
10.1.1.151,187.696584ms,667ns
10.1.1.153,187.602458ms,542ns
10.1.1.152,120.28275ms,1.792µs
10.1.1.154,109.862625ms,666ns
10.1.1.151,121.8565ms,959ns
10.1.1.149,152.758167ms,1.417µs
10.1.1.153,152.978375ms,1.875µs
10.1.1.154,214.053917ms,667ns
10.1.1.150,136.019542ms,1.542µs
10.1.1.150,89.509042ms,750ns
